trust,region,year,month,month_name,period,attendances,admissions,breaches,perf_4hr_pct,breach_rate_pct,admission_rate_pct,median_wait_mins,ambulance_handover_delay_pct,prev_month_perf,prev_month_breach,rolling_3m_att,att_growth_pct,is_winter,is_covid_period
Cambridge University Hospitals,East of England,2018,9,Sep,2018-09,9381,2519,1271,86.4,13.6,26.9,106.0,2.0,86.7,13.3,9954.0,-10.98,0,0
Cambridge University Hospitals,East of England,2018,10,Oct,2018-10,9850,2799,1308,86.7,13.3,28.4,84.0,3.1,86.4,13.6,9923.0,5.0,0,0
Cambridge University Hospitals,East of England,2018,11,Nov,2018-11,10622,3125,1838,82.7,17.3,29.4,89.0,3.9,86.7,13.3,9951.0,7.84,1,0
Cambridge University Hospitals,East of England,2018,12,Dec,2018-12,10223,3151,1873,81.7,18.3,30.8,88.0,5.6,82.7,17.3,10232.0,-3.76,1,0
Cambridge University Hospitals,East of England,2019,1,Jan,2019-01,10982,2974,2352,78.6,21.4,27.1,150.0,7.5,81.7,18.3,10609.0,7.42,1,0
Cambridge University Hospitals,East of England,2019,2,Feb,2019-02,10644,3286,2283,78.5,21.5,30.9,121.0,4.9,78.6,21.4,10616.0,-3.08,1,0
Cambridge University Hospitals,East of England,2019,3,Mar,2019-03,10287,2767,1761,82.9,17.1,26.9,90.0,7.7,78.5,21.5,10638.0,-3.35,0,0
Cambridge University Hospitals,East of England,2019,4,Apr,2019-04,9152,2612,1210,86.8,13.2,28.5,90.0,4.4,82.9,17.1,10028.0,-11.03,0,0
Cambridge University Hospitals,East of England,2019,5,May,2019-05,9008,2485,1080,88.0,12.0,27.6,86.0,4.8,86.8,13.2,9482.0,-1.57,0,0
Cambridge University Hospitals,East of England,2019,6,Jun,2019-06,9853,2999,1356,86.2,13.8,30.4,87.0,2.1,88.0,12.0,9338.0,9.38,0,0
Cambridge University Hospitals,East of England,2019,7,Jul,2019-07,9914,2531,1519,84.7,15.3,25.5,75.0,7.9,86.2,13.8,9592.0,0.62,0,0
Cambridge University Hospitals,East of England,2019,8,Aug,2019-08,10732,2701,1613,85.0,15.0,25.2,79.0,2.7,84.7,15.3,10166.0,8.25,0,0
Cambridge University Hospitals,East of England,2019,9,Sep,2019-09,9548,2579,1173,87.7,12.3,27.0,79.0,4.4,85.0,15.0,10065.0,-11.03,0,0
Cambridge University Hospitals,East of England,2019,10,Oct,2019-10,9554,2708,1576,83.5,16.5,28.3,100.0,3.4,87.7,12.3,9945.0,0.06,0,0
Cambridge University Hospitals,East of England,2019,11,Nov,2019-11,10056,2577,1661,83.5,16.5,25.6,77.0,3.9,83.5,16.5,9719.0,5.25,1,0
Cambridge University Hospitals,East of England,2019,12,Dec,2019-12,10432,3089,2184,79.1,20.9,29.6,125.0,7.0,83.5,16.5,10014.0,3.74,1,0
Cambridge University Hospitals,East of England,2020,1,Jan,2020-01,11477,3446,2636,77.0,23.0,30.0,149.0,5.1,79.1,20.9,10655.0,10.02,1,0
Cambridge University Hospitals,East of England,2020,2,Feb,2020-02,11067,3422,2397,78.3,21.7,30.9,132.0,10.5,77.0,23.0,10992.0,-3.57,1,0
Cambridge University Hospitals,East of England,2020,3,Mar,2020-03,10544,2927,2109,80.0,20.0,27.8,155.0,9.1,78.3,21.7,11029.0,-4.73,0,1
Cambridge University Hospitals,East of England,2020,4,Apr,2020-04,5081,1342,771,84.8,15.2,26.4,75.0,4.7,80.0,20.0,8897.0,-51.81,0,1
Cambridge University Hospitals,East of England,2020,5,May,2020-05,5033,1326,665,86.8,13.2,26.4,104.0,1.6,84.8,15.2,6886.0,-0.94,0,1
Cambridge University Hospitals,East of England,2020,6,Jun,2020-06,5223,1338,837,84.0,16.0,25.6,77.0,3.7,86.8,13.2,5112.0,3.78,0,1
Cambridge University Hospitals,East of England,2020,7,Jul,2020-07,8304,2235,1439,82.7,17.3,26.9,88.0,8.3,84.0,16.0,6187.0,58.99,0,0
Cambridge University Hospitals,East of England,2020,8,Aug,2020-08,8779,2309,1539,82.5,17.5,26.3,79.0,8.9,82.7,17.3,7435.0,5.72,0,0
Cambridge University Hospitals,East of England,2020,9,Sep,2020-09,7368,1922,1201,83.7,16.3,26.1,86.0,3.7,82.5,17.5,8150.0,-16.07,0,0
Cambridge University Hospitals,East of England,2020,10,Oct,2020-10,10064,2862,1913,81.0,19.0,28.4,79.0,4.1,83.7,16.3,8737.0,36.59,0,0
Cambridge University Hospitals,East of England,2020,11,Nov,2020-11,10977,3265,2331,78.8,21.2,29.7,135.0,4.9,81.0,19.0,9470.0,9.07,1,0
Cambridge University Hospitals,East of England,2020,12,Dec,2020-12,11424,3429,2629,77.0,23.0,30.0,118.0,10.2,78.8,21.2,10822.0,4.07,1,0
Cambridge University Hospitals,East of England,2021,1,Jan,2021-01,11066,3251,3480,68.5,31.5,29.4,216.0,13.5,77.0,23.0,11156.0,-3.13,1,0
Cambridge University Hospitals,East of England,2021,2,Feb,2021-02,11295,2868,3213,71.5,28.5,25.4,123.0,8.7,68.5,31.5,11262.0,2.07,1,0
Cambridge University Hospitals,East of England,2021,3,Mar,2021-03,10410,2895,2907,72.1,27.9,27.8,117.0,10.9,71.5,28.5,10924.0,-7.84,0,0
Cambridge University Hospitals,East of England,2021,4,Apr,2021-04,9454,2602,2388,74.7,25.3,27.5,146.0,10.3,72.1,27.9,10386.0,-9.18,0,0
Cambridge University Hospitals,East of England,2021,5,May,2021-05,9623,2678,2346,75.6,24.4,27.8,114.0,7.8,74.7,25.3,9829.0,1.79,0,0
Cambridge University Hospitals,East of England,2021,6,Jun,2021-06,9744,2525,2469,74.7,25.3,25.9,153.0,11.6,75.6,24.4,9607.0,1.26,0,0
Cambridge University Hospitals,East of England,2021,7,Jul,2021-07,10389,2623,2787,73.2,26.8,25.3,128.0,12.1,74.7,25.3,9919.0,6.62,0,0
Cambridge University Hospitals,East of England,2021,8,Aug,2021-08,10503,2600,2620,75.1,24.9,24.8,154.0,8.0,73.2,26.8,10212.0,1.1,0,0
Cambridge University Hospitals,East of England,2021,9,Sep,2021-09,9926,2818,2445,75.4,24.6,28.4,119.0,6.5,75.1,24.9,10273.0,-5.49,0,0
Cambridge University Hospitals,East of England,2021,10,Oct,2021-10,10363,3130,2521,75.7,24.3,30.2,138.0,10.4,75.4,24.6,10264.0,4.4,0,0
Cambridge University Hospitals,East of England,2021,11,Nov,2021-11,10441,2735,3045,70.8,29.2,26.2,139.0,9.3,75.7,24.3,10243.0,0.75,1,0
Cambridge University Hospitals,East of England,2021,12,Dec,2021-12,10899,3237,3282,69.9,30.1,29.7,180.0,8.3,70.8,29.2,10568.0,4.39,1,0
Cambridge University Hospitals,East of England,2022,1,Jan,2022-01,11427,2982,4176,63.4,36.6,26.1,197.0,13.4,69.9,30.1,10922.0,4.84,1,0
Cambridge University Hospitals,East of England,2022,2,Feb,2022-02,11378,3387,3931,65.4,34.6,29.8,168.0,11.9,63.4,36.6,11235.0,-0.43,1,0
Cambridge University Hospitals,East of England,2022,3,Mar,2022-03,10950,2712,3589,67.2,32.8,24.8,212.0,10.5,65.4,34.6,11252.0,-3.76,0,0
Cambridge University Hospitals,East of England,2022,4,Apr,2022-04,10023,2889,3047,69.6,30.4,28.8,176.0,8.0,67.2,32.8,10784.0,-8.47,0,0
Cambridge University Hospitals,East of England,2022,5,May,2022-05,9759,2606,2736,72.0,28.0,26.7,114.0,7.7,69.6,30.4,10244.0,-2.63,0,0
Cambridge University Hospitals,East of England,2022,6,Jun,2022-06,9819,2982,2861,70.9,29.1,30.4,110.0,10.1,72.0,28.0,9867.0,0.61,0,0
Cambridge University Hospitals,East of England,2022,7,Jul,2022-07,10370,3161,3087,70.2,29.8,30.5,117.0,13.2,70.9,29.1,9983.0,5.61,0,0
Cambridge University Hospitals,East of England,2022,8,Aug,2022-08,10739,2988,3118,71.0,29.0,27.8,150.0,10.5,70.2,29.8,10309.0,3.56,0,0
Cambridge University Hospitals,East of England,2022,9,Sep,2022-09,9905,2492,2894,70.8,29.2,25.2,151.0,9.2,71.0,29.0,10338.0,-7.77,0,0
Cambridge University Hospitals,East of England,2022,10,Oct,2022-10,10079,2658,2919,71.0,29.0,26.4,153.0,11.6,70.8,29.2,10241.0,1.76,0,0
Cambridge University Hospitals,East of England,2022,11,Nov,2022-11,11084,2698,3433,69.0,31.0,24.3,172.0,10.6,71.0,29.0,10356.0,9.97,1,0
Cambridge University Hospitals,East of England,2022,12,Dec,2022-12,11156,3395,3740,66.5,33.5,30.4,183.0,10.8,69.0,31.0,10773.0,0.65,1,0
Cambridge University Hospitals,East of England,2023,1,Jan,2023-01,12347,3385,4904,60.3,39.7,27.4,178.0,16.4,66.5,33.5,11529.0,10.68,1,0
Cambridge University Hospitals,East of England,2023,2,Feb,2023-02,11453,3399,4232,63.0,37.0,29.7,177.0,12.5,60.3,39.7,11652.0,-7.24,1,0
Cambridge University Hospitals,East of England,2023,3,Mar,2023-03,11175,3303,4028,63.9,36.1,29.6,216.0,13.4,63.0,37.0,11658.0,-2.43,0,0
Cambridge University Hospitals,East of England,2023,4,Apr,2023-04,10238,3062,3202,68.7,31.3,29.9,181.0,8.3,63.9,36.1,10955.0,-8.38,0,0
Cambridge University Hospitals,East of England,2023,5,May,2023-05,9760,2650,2958,69.7,30.3,27.2,204.0,9.7,68.7,31.3,10391.0,-4.67,0,0
Cambridge University Hospitals,East of England,2023,6,Jun,2023-06,10257,2999,3359,67.2,32.8,29.2,190.0,9.7,69.7,30.3,10085.0,5.09,0,0
Cambridge University Hospitals,East of England,2023,7,Jul,2023-07,10691,2927,3422,68.0,32.0,27.4,169.0,14.0,67.2,32.8,10236.0,4.23,0,0
Cambridge University Hospitals,East of England,2023,8,Aug,2023-08,11375,3070,3659,67.8,32.2,27.0,186.0,13.6,68.0,32.0,10774.0,6.4,0,0
Cambridge University Hospitals,East of England,2023,9,Sep,2023-09,10064,2593,3137,68.8,31.2,25.8,184.0,8.7,67.8,32.2,10710.0,-11.53,0,0
Cambridge University Hospitals,East of England,2023,10,Oct,2023-10,10111,2454,3639,64.0,36.0,24.3,219.0,11.1,68.8,31.2,10517.0,0.47,0,0
Cambridge University Hospitals,East of England,2023,11,Nov,2023-11,11329,3155,3981,64.9,35.1,27.9,165.0,13.7,64.0,36.0,10501.0,12.05,1,0
Cambridge University Hospitals,East of England,2023,12,Dec,2023-12,11690,3435,4392,62.4,37.6,29.4,218.0,13.6,64.9,35.1,11043.0,3.19,1,0
Cambridge University Hospitals,East of England,2024,1,Jan,2024-01,11951,2925,4351,63.6,36.4,24.5,213.0,10.5,62.4,37.6,11657.0,2.23,1,0
Cambridge University Hospitals,East of England,2024,2,Feb,2024-02,11419,3218,3909,65.8,34.2,28.2,181.0,11.8,63.6,36.4,11687.0,-4.45,1,0
Cambridge University Hospitals,East of England,2024,3,Mar,2024-03,11365,3419,3823,66.4,33.6,30.1,161.0,13.4,65.8,34.2,11578.0,-0.47,0,0
Cambridge University Hospitals,East of England,2024,4,Apr,2024-04,10494,2834,3282,68.7,31.3,27.0,166.0,12.2,66.4,33.6,11093.0,-7.66,0,0
Cambridge University Hospitals,East of England,2024,5,May,2024-05,10027,2544,2803,72.0,28.0,25.4,120.0,7.0,68.7,31.3,10629.0,-4.45,0,0
Cambridge University Hospitals,East of England,2024,6,Jun,2024-06,10168,3050,2924,71.2,28.8,30.0,140.0,9.7,72.0,28.0,10230.0,1.41,0,0
Cambridge University Hospitals,East of England,2024,7,Jul,2024-07,11452,3494,3392,70.4,29.6,30.5,134.0,8.9,71.2,28.8,10549.0,12.63,0,0
Cambridge University Hospitals,East of England,2024,8,Aug,2024-08,10961,2723,3353,69.4,30.6,24.8,175.0,10.9,70.4,29.6,10860.0,-4.29,0,0
Cambridge University Hospitals,East of England,2024,9,Sep,2024-09,10262,2582,2986,70.9,29.1,25.2,127.0,10.9,69.4,30.6,10892.0,-6.38,0,0
Cambridge University Hospitals,East of England,2024,10,Oct,2024-10,10921,3326,3341,69.4,30.6,30.5,205.0,11.3,70.9,29.1,10715.0,6.42,0,0
Cambridge University Hospitals,East of England,2024,11,Nov,2024-11,11087,3144,3696,66.7,33.3,28.4,194.0,11.6,69.4,30.6,10757.0,1.52,1,0
Cambridge University Hospitals,East of England,2024,12,Dec,2024-12,11816,3265,4332,63.3,36.7,27.6,168.0,14.7,66.7,33.3,11275.0,6.58,1,0
King's College Hospital,London,2018,2,Feb,2018-02,16070,4305,3122,80.6,19.4,26.8,80.0,6.0,80.8,19.2,16910.0,-9.46,1,0
King's College Hospital,London,2018,3,Mar,2018-03,15205,3793,2864,81.2,18.8,24.9,109.0,6.9,80.6,19.4,16341.0,-5.38,0,0
King's College Hospital,London,2018,4,Apr,2018-04,15092,3951,2144,85.8,14.2,26.2,93.0,4.6,81.2,18.8,15456.0,-0.74,0,0
King's College Hospital,London,2018,5,May,2018-05,13800,3520,1638,88.1,11.9,25.5,97.0,5.1,85.8,14.2,14699.0,-8.56,0,0
King's College Hospital,London,2018,6,Jun,2018-06,14290,4210,2099,85.3,14.7,29.5,91.0,2.5,88.1,11.9,14394.0,3.55,0,0
King's College Hospital,London,2018,7,Jul,2018-07,16373,4726,2653,83.8,16.2,28.9,109.0,4.1,85.3,14.7,14821.0,14.58,0,0
King's College Hospital,London,2018,8,Aug,2018-08,15736,4110,2667,83.0,17.0,26.1,79.0,7.1,83.8,16.2,15466.0,-3.89,0,0
King's College Hospital,London,2018,9,Sep,2018-09,14040,4349,1881,86.6,13.4,31.0,103.0,5.4,83.0,17.0,15383.0,-10.78,0,0
King's College Hospital,London,2018,10,Oct,2018-10,14767,4088,2206,85.1,14.9,27.7,90.0,3.0,86.6,13.4,14848.0,5.18,0,0
King's College Hospital,London,2018,11,Nov,2018-11,16701,4235,3029,81.9,18.1,25.4,88.0,5.8,85.1,14.9,15169.0,13.1,1,0
King's College Hospital,London,2018,12,Dec,2018-12,17240,5065,3276,81.0,19.0,29.4,75.0,6.1,81.9,18.1,16236.0,3.23,1,0
King's College Hospital,London,2019,1,Jan,2019-01,17534,4527,4359,75.1,24.9,25.8,144.0,6.5,81.0,19.0,17158.0,1.71,1,0
King's College Hospital,London,2019,2,Feb,2019-02,16844,4056,3803,77.4,22.6,24.1,121.0,10.8,75.1,24.9,17206.0,-3.94,1,0
King's College Hospital,London,2019,3,Mar,2019-03,16420,4501,2808,82.9,17.1,27.4,79.0,6.3,77.4,22.6,16933.0,-2.52,0,0
King's College Hospital,London,2019,4,Apr,2019-04,14757,3642,2148,85.4,14.6,24.7,92.0,3.0,82.9,17.1,16007.0,-10.13,0,0
King's College Hospital,London,2019,5,May,2019-05,14303,3909,1929,86.5,13.5,27.3,88.0,4.1,85.4,14.6,15160.0,-3.08,0,0
King's College Hospital,London,2019,6,Jun,2019-06,14916,4511,2058,86.2,13.8,30.2,108.0,6.6,86.5,13.5,14659.0,4.29,0,0
King's College Hospital,London,2019,7,Jul,2019-07,15796,4274,2477,84.3,15.7,27.1,84.0,7.5,86.2,13.8,15005.0,5.9,0,0
King's College Hospital,London,2019,8,Aug,2019-08,15882,4324,2514,84.2,15.8,27.2,97.0,6.5,84.3,15.7,15531.0,0.54,0,0
King's College Hospital,London,2019,9,Sep,2019-09,15280,4323,2275,85.1,14.9,28.3,77.0,5.3,84.2,15.8,15653.0,-3.79,0,0
King's College Hospital,London,2019,10,Oct,2019-10,14842,4094,2447,83.5,16.5,27.6,99.0,3.0,85.1,14.9,15335.0,-2.87,0,0
King's College Hospital,London,2019,11,Nov,2019-11,15943,3906,3041,80.9,19.1,24.5,77.0,3.7,83.5,16.5,15355.0,7.42,1,0
King's College Hospital,London,2019,12,Dec,2019-12,17726,4692,3720,79.0,21.0,26.5,123.0,6.4,80.9,19.1,16170.0,11.18,1,0
King's College Hospital,London,2020,1,Jan,2020-01,18263,4619,4345,76.2,23.8,25.3,118.0,5.9,79.0,21.0,17311.0,3.03,1,0
King's College Hospital,London,2020,2,Feb,2020-02,17313,4476,3788,78.1,21.9,25.9,111.0,5.2,76.2,23.8,17767.0,-5.2,1,0
King's College Hospital,London,2020,3,Mar,2020-03,16927,4973,3598,78.7,21.3,29.4,138.0,6.7,78.1,21.9,17501.0,-2.23,0,1
King's College Hospital,London,2020,4,Apr,2020-04,8095,2291,1534,81.0,19.0,28.3,102.0,7.5,78.7,21.3,14112.0,-52.18,0,1
King's College Hospital,London,2020,5,May,2020-05,8139,2505,1446,82.2,17.8,30.8,103.0,5.0,81.0,19.0,11054.0,0.54,0,1
King's College Hospital,London,2020,6,Jun,2020-06,8697,2441,1394,84.0,16.0,28.1,101.0,7.5,82.2,17.8,8310.0,6.86,0,1
King's College Hospital,London,2020,7,Jul,2020-07,13217,3485,2567,80.6,19.4,26.4,107.0,5.1,84.0,16.0,10018.0,51.97,0,0
King's College Hospital,London,2020,8,Aug,2020-08,13289,3598,2553,80.8,19.2,27.1,96.0,9.4,80.6,19.4,11734.0,0.54,0,0
King's College Hospital,London,2020,9,Sep,2020-09,11808,2997,2179,81.5,18.5,25.4,106.0,7.3,80.8,19.2,12771.0,-11.14,0,0
King's College Hospital,London,2020,10,Oct,2020-10,15273,4586,2699,82.3,17.7,30.0,105.0,8.7,81.5,18.5,13457.0,29.34,0,0
King's College Hospital,London,2020,11,Nov,2020-11,16450,4478,3359,79.6,20.4,27.2,148.0,8.5,82.3,17.7,14510.0,7.71,1,0
King's College Hospital,London,2020,12,Dec,2020-12,17789,4490,4058,77.2,22.8,25.2,135.0,10.9,79.6,20.4,16504.0,8.14,1,0
King's College Hospital,London,2021,1,Jan,2021-01,18817,4733,6542,65.2,34.8,25.2,164.0,13.5,77.2,22.8,17685.0,5.78,1,0
King's College Hospital,London,2021,2,Feb,2021-02,17833,4911,5811,67.4,32.6,27.5,210.0,12.8,65.2,34.8,18146.0,-5.23,1,0
King's College Hospital,London,2021,3,Mar,2021-03,16656,4590,4760,71.4,28.6,27.6,123.0,10.4,67.4,32.6,17769.0,-6.6,0,0
King's College Hospital,London,2021,4,Apr,2021-04,15567,4429,3805,75.6,24.4,28.5,144.0,6.5,71.4,28.6,16685.0,-6.54,0,0
King's College Hospital,London,2021,5,May,2021-05,14973,3852,3953,73.6,26.4,25.7,143.0,12.2,75.6,24.4,15732.0,-3.82,0,0
King's College Hospital,London,2021,6,Jun,2021-06,14996,4438,3799,74.7,25.3,29.6,119.0,9.2,73.6,26.4,15179.0,0.15,0,0
King's College Hospital,London,2021,7,Jul,2021-07,16910,4280,4392,74.0,26.0,25.3,126.0,10.8,74.7,25.3,15626.0,12.76,0,0
King's College Hospital,London,2021,8,Aug,2021-08,17148,5028,5044,70.6,29.4,29.3,112.0,11.8,74.0,26.0,16351.0,1.41,0,0
King's College Hospital,London,2021,9,Sep,2021-09,14970,3978,3534,76.4,23.6,26.6,125.0,6.2,70.6,29.4,16343.0,-12.7,0,0
King's College Hospital,London,2021,10,Oct,2021-10,15564,4820,4036,74.1,25.9,31.0,127.0,8.8,76.4,23.6,15894.0,3.97,0,0
King's College Hospital,London,2021,11,Nov,2021-11,17378,4892,4934,71.6,28.4,28.2,128.0,9.4,74.1,25.9,15971.0,11.66,1,0
King's College Hospital,London,2021,12,Dec,2021-12,17984,5096,6101,66.1,33.9,28.3,178.0,13.6,71.6,28.4,16975.0,3.49,1,0
King's College Hospital,London,2022,1,Jan,2022-01,17889,4895,6545,63.4,36.6,27.4,197.0,10.2,66.1,33.9,17750.0,-0.53,1,0
King's College Hospital,London,2022,2,Feb,2022-02,17801,4970,6264,64.8,35.2,27.9,194.0,13.4,63.4,36.6,17891.0,-0.49,1,0
King's College Hospital,London,2022,3,Mar,2022-03,17295,5149,5856,66.1,33.9,29.8,187.0,9.3,64.8,35.2,17662.0,-2.84,0,0
King's College Hospital,London,2022,4,Apr,2022-04,15046,4437,4604,69.4,30.6,29.5,201.0,12.4,66.1,33.9,16714.0,-13.0,0,0
King's College Hospital,London,2022,5,May,2022-05,15297,3829,4387,71.3,28.7,25.0,125.0,9.6,69.4,30.6,15879.0,1.67,0,0
King's College Hospital,London,2022,6,Jun,2022-06,15239,4295,4580,69.9,30.1,28.2,203.0,13.5,71.3,28.7,15194.0,-0.38,0,0
King's College Hospital,London,2022,7,Jul,2022-07,17469,4707,5217,70.1,29.9,26.9,139.0,12.2,69.9,30.1,16002.0,14.63,0,0
King's College Hospital,London,2022,8,Aug,2022-08,16836,5030,5353,68.2,31.8,29.9,180.0,11.6,70.1,29.9,16515.0,-3.62,0,0
King's College Hospital,London,2022,9,Sep,2022-09,15707,4167,4822,69.3,30.7,26.5,177.0,7.9,68.2,31.8,16671.0,-6.71,0,0
King's College Hospital,London,2022,10,Oct,2022-10,15467,4007,4657,69.9,30.1,25.9,189.0,9.3,69.3,30.7,16003.0,-1.53,0,0
King's College Hospital,London,2022,11,Nov,2022-11,17978,4855,6274,65.1,34.9,27.0,212.0,14.3,69.9,30.1,16384.0,16.23,1,0
King's College Hospital,London,2022,12,Dec,2022-12,17557,4776,6097,65.3,34.7,27.2,186.0,10.0,65.1,34.9,17001.0,-2.34,1,0
King's College Hospital,London,2023,1,Jan,2023-01,18171,4992,7273,60.0,40.0,27.5,183.0,15.4,65.3,34.7,17902.0,3.5,1,0
King's College Hospital,London,2023,2,Feb,2023-02,18367,5192,7494,59.2,40.8,28.3,164.0,15.8,60.0,40.0,18032.0,1.08,1,0
King's College Hospital,London,2023,3,Mar,2023-03,17383,4255,6103,64.9,35.1,24.5,159.0,11.0,59.2,40.8,17974.0,-5.36,0,0
King's College Hospital,London,2023,4,Apr,2023-04,15557,4720,5437,65.0,35.0,30.3,171.0,10.9,64.9,35.1,17102.0,-10.5,0,0
King's College Hospital,London,2023,5,May,2023-05,15854,4666,5174,67.4,32.6,29.4,159.0,11.3,65.0,35.0,16265.0,1.91,0,0
King's College Hospital,London,2023,6,Jun,2023-06,15425,4680,5350,65.3,34.7,30.3,164.0,12.3,67.4,32.6,15612.0,-2.71,0,0
King's College Hospital,London,2023,7,Jul,2023-07,17045,5164,5974,64.9,35.1,30.3,156.0,13.3,65.3,34.7,16108.0,10.5,0,0
King's College Hospital,London,2023,8,Aug,2023-08,18312,5595,6445,64.8,35.2,30.6,158.0,11.8,64.9,35.1,16927.0,7.43,0,0
King's College Hospital,London,2023,9,Sep,2023-09,15555,4801,5057,67.5,32.5,30.9,172.0,12.3,64.8,35.2,16971.0,-15.06,0,0
King's College Hospital,London,2023,10,Oct,2023-10,15955,4347,5612,64.8,35.2,27.2,218.0,13.0,67.5,32.5,16607.0,2.57,0,0
King's College Hospital,London,2023,11,Nov,2023-11,17445,4371,6887,60.5,39.5,25.1,170.0,12.3,64.8,35.2,16318.0,9.34,1,0
King's College Hospital,London,2023,12,Dec,2023-12,18825,5207,7472,60.3,39.7,27.7,162.0,16.1,60.5,39.5,17408.0,7.91,1,0
King's College Hospital,London,2024,1,Jan,2024-01,19453,5632,7814,59.8,40.2,29.0,190.0,11.5,60.3,39.7,18574.0,3.34,1,0
King's College Hospital,London,2024,2,Feb,2024-02,18221,4584,6741,63.0,37.0,25.2,216.0,15.1,59.8,40.2,18833.0,-6.33,1,0
King's College Hospital,London,2024,3,Mar,2024-03,17686,4754,6117,65.4,34.6,26.9,197.0,12.4,63.0,37.0,18453.0,-2.94,0,0
King's College Hospital,London,2024,4,Apr,2024-04,15556,4611,4882,68.6,31.4,29.6,185.0,8.3,65.4,34.6,17154.0,-12.04,0,0
King's College Hospital,London,2024,5,May,2024-05,16150,4168,5028,68.9,31.1,25.8,166.0,9.9,68.6,31.4,16464.0,3.82,0,0
King's College Hospital,London,2024,6,Jun,2024-06,16622,4227,5046,69.6,30.4,25.4,212.0,12.9,68.9,31.1,16109.0,2.92,0,0
King's College Hospital,London,2024,7,Jul,2024-07,17968,4879,5926,67.0,33.0,27.2,219.0,13.2,69.6,30.4,16913.0,8.1,0,0
King's College Hospital,London,2024,8,Aug,2024-08,17270,4705,5989,65.3,34.7,27.2,214.0,12.4,67.0,33.0,17287.0,-3.88,0,0
King's College Hospital,London,2024,9,Sep,2024-09,16118,4609,5241,67.5,32.5,28.6,208.0,10.7,65.3,34.7,17119.0,-6.67,0,0
King's College Hospital,London,2024,10,Oct,2024-10,16986,4318,5279,68.9,31.1,25.4,189.0,9.6,67.5,32.5,16791.0,5.39,0,0
King's College Hospital,London,2024,11,Nov,2024-11,18370,5224,6453,64.9,35.1,28.4,207.0,11.7,68.9,31.1,17158.0,8.15,1,0
King's College Hospital,London,2024,12,Dec,2024-12,19232,4828,7175,62.7,37.3,25.1,200.0,14.8,64.9,35.1,18196.0,4.69,1,0
Leeds Teaching Hospitals,Yorkshire & Humber,2018,2,Feb,2018-02,15952,3903,2982,81.3,18.7,24.5,101.0,4.8,78.0,22.0,16621.0,-7.74,1,0
Leeds Teaching Hospitals,Yorkshire & Humber,2018,3,Mar,2018-03,15709,3979,2789,82.2,17.8,25.3,76.0,6.0,81.3,18.7,16317.0,-1.52,0,0
Leeds Teaching Hospitals,Yorkshire & Humber,2018,4,Apr,2018-04,14137,4160,2164,84.7,15.3,29.4,91.0,5.5,82.2,17.8,15266.0,-10.01,0,0
Leeds Teaching Hospitals,Yorkshire & Humber,2018,5,May,2018-05,13709,3827,1709,87.5,12.5,27.9,80.0,2.5,84.7,15.3,14518.0,-3.03,0,0
Leeds Teaching Hospitals,Yorkshire & Humber,2018,6,Jun,2018-06,14621,3891,1577,89.2,10.8,26.6,84.0,4.6,87.5,12.5,14156.0,6.65,0,0
Leeds Teaching Hospitals,Yorkshire & Humber,2018,7,Jul,2018-07,15113,3792,2414,84.0,16.0,25.1,100.0,6.5,89.2,10.8,14481.0,3.37,0,0
Leeds Teaching Hospitals,Yorkshire & Humber,2018,8,Aug,2018-08,15067,3859,2439,83.8,16.2,25.6,99.0,2.8,84.0,16.0,14934.0,-0.3,0,0
Leeds Teaching Hospitals,Yorkshire & Humber,2018,9,Sep,2018-09,13619,3438,1617,88.1,11.9,25.2,98.0,2.6,83.8,16.2,14600.0,-9.61,0,0
Leeds Teaching Hospitals,Yorkshire & Humber,2018,10,Oct,2018-10,14035,4077,2260,83.9,16.1,29.1,105.0,7.6,88.1,11.9,14240.0,3.05,0,0
Leeds Teaching Hospitals,Yorkshire & Humber,2018,11,Nov,2018-11,15531,3950,2625,83.1,16.9,25.4,85.0,8.3,83.9,16.1,14395.0,10.66,1,0
Leeds Teaching Hospitals,Yorkshire & Humber,2018,12,Dec,2018-12,15607,3972,3313,78.8,21.2,25.5,111.0,5.5,83.1,16.9,15058.0,0.49,1,0
Leeds Teaching Hospitals,Yorkshire & Humber,2019,1,Jan,2019-01,17087,5168,3911,77.1,22.9,30.2,147.0,7.1,78.8,21.2,16075.0,9.48,1,0
Leeds Teaching Hospitals,Yorkshire & Humber,2019,2,Feb,2019-02,15924,4479,3432,78.4,21.6,28.1,122.0,8.3,77.1,22.9,16206.0,-6.81,1,0
Leeds Teaching Hospitals,Yorkshire & Humber,2019,3,Mar,2019-03,15386,4162,2826,81.6,18.4,27.1,85.0,9.1,78.4,21.6,16132.0,-3.38,0,0
Leeds Teaching Hospitals,Yorkshire & Humber,2019,4,Apr,2019-04,14620,4397,2487,83.0,17.0,30.1,92.0,8.3,81.6,18.4,15310.0,-4.98,0,0
Leeds Teaching Hospitals,Yorkshire & Humber,2019,5,May,2019-05,14359,3468,2064,85.6,14.4,24.2,84.0,5.3,83.0,17.0,14788.0,-1.79,0,0
Leeds Teaching Hospitals,Yorkshire & Humber,2019,6,Jun,2019-06,14620,3651,2272,84.5,15.5,25.0,104.0,8.3,85.6,14.4,14533.0,1.82,0,0
Leeds Teaching Hospitals,Yorkshire & Humber,2019,7,Jul,2019-07,15530,4023,2700,82.6,17.4,25.9,76.0,8.6,84.5,15.5,14836.0,6.22,0,0
